Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
3.5,56,No,5,8,37
1.5,96,No,8,7,75
5.5,58,No,4,9,43
1.5,72,Yes,5,8,48
8.5,40,Yes,7,8,32
1.5,52,No,5,3,27
1.5,85,Yes,7,10,59
2.5,66,No,6,4,43
2.5,45,Yes,4,4,19
6.5,98,No,4,1,86
7.5,45,Yes,7,6,37
5.5,72,Yes,8,2,59
1.5,69,Yes,9,9,46
1.5,85,Yes,8,1,61
3.5,74,Yes,6,1,57
2.5,62,Yes,7,10,43
5.5,49,No,6,6,34
6.5,90,No,7,1,78
7.5,58,Yes,6,3,52
4.5,90,No,7,10,73
7.5,67,Yes,4,2,58
8.5,62,No,6,9,54
1.5,43,No,6,5,17
6.5,59,No,7,6,46
8.5,58,No,5,2,50
5.5,81,Yes,5,8,68
4.5,66,No,4,6,50
2.5,96,No,8,8,74
6.5,73,No,8,8,66
6.5,43,Yes,4,1,28
1.5,95,No,8,7,73
9.5,77,Yes,9,2,75
6.5,46,Yes,9,8,39
3.5,87,No,9,2,68
4.5,46,Yes,9,4,29
4.5,89,No,7,2,74
3.5,91,No,5,7,73
3.5,65,No,4,5,43
3.5,65,No,7,9,48
4.5,93,No,9,5,78
7.5,58,No,4,8,50
4.5,48,No,5,2,31
9.5,59,Yes,8,3,55
1.5,81,Yes,7,6,57
8.5,84,No,5,7,76
7.5,89,No,4,10,79
2.5,55,Yes,6,8,33
8.5,93,No,7,3,90
1.5,56,Yes,4,7,30
9.5,61,Yes,4,8,58
9.5,52,No,5,10,49
2.5,51,No,4,6,28
7.5,49,Yes,7,4,39
3.5,40,Yes,9,6,19
7.5,71,No,7,9,67
9.5,69,No,4,3,66
4.5,47,Yes,5,2,28
1.5,60,Yes,7,5,34
2.5,61,Yes,6,7,38
1.5,57,No,9,3,30
5.5,41,No,8,5,27
5.5,87,No,5,4,73
7.5,83,Yes,5,7,78
9.5,48,Yes,8,2,46
9.5,42,No,8,7,42
3.5,93,Yes,7,2,74
3.5,65,Yes,4,3,44
3.5,60,Yes,4,5,40
4.5,69,Yes,6,7,55
8.5,67,Yes,9,6,63
6.5,75,No,4,7,64
8.5,65,No,6,6,60
1.5,73,No,6,1,47
8.5,47,No,5,5,43
4.5,49,No,5,1,31
1.5,87,Yes,9,7,64
8.5,94,Yes,7,4,90
4.5,82,Yes,8,5,63
6.5,89,No,8,1,78
8.5,93,Yes,9,8,89
4.5,53,Yes,6,4,36
3.5,79,Yes,9,3,61
9.5,94,No,8,1,93
3.5,54,Yes,6,4,39
9.5,56,Yes,8,3,57
2.5,92,No,7,8,71
2.5,57,No,5,9,36
2.5,71,Yes,5,5,48
6.5,77,No,6,9,67
3.5,62,Yes,9,1,44
9.5,85,No,8,7,82
4.5,62,Yes,4,7,44
1.5,74,Yes,7,6,47
4.5,78,No,8,4,62
1.5,54,No,4,9,28
5.5,92,No,7,3,78
4.5,63,No,7,1,44
8.5,67,Yes,5,2,61
8.5,55,No,6,3,49
7.5,55,Yes,8,2,48
3.5,79,Yes,7,6,61
1.5,78,Yes,8,7,54
1.5,45,No,7,5,20
3.5,41,Yes,9,5,24
6.5,93,Yes,5,7,82
7.5,52,No,6,6,42
6.5,83,Yes,4,8,72
6.5,86,Yes,4,9,76
6.5,98,Yes,9,2,90
3.5,48,No,5,2,29
6.5,73,Yes,7,1,61
8.5,56,Yes,5,7,55
2.5,66,Yes,6,4,42
5.5,68,No,4,9,53
1.5,76,No,8,6,54
1.5,82,No,4,7,53
5.5,61,Yes,6,7,48
3.5,90,Yes,7,8,72
4.5,63,Yes,5,4,43
3.5,46,Yes,4,3,22
1.5,73,Yes,4,3,49
1.5,87,No,8,10,65
5.5,51,Yes,5,8,39
6.5,62,Yes,8,3,50
3.5,54,No,8,8,36
9.5,72,No,7,2,74
5.5,96,Yes,4,5,82
8.5,52,No,9,5,48
1.5,62,No,5,7,37
5.5,77,No,7,5,64
3.5,71,Yes,9,9,53
1.5,84,No,7,3,59
4.5,89,Yes,7,9,78
5.5,74,No,6,1,59
7.5,40,Yes,6,3,34
1.5,86,Yes,7,4,68
3.5,97,Yes,6,6,77
2.5,84,No,5,10,63
9.5,44,No,4,8,38
6.5,96,No,9,7,87
3.5,52,Yes,5,8,38
8.5,93,No,4,6,89
8.5,44,No,6,6,39
2.5,99,Yes,9,6,77
6.5,71,No,5,3,58
7.5,90,Yes,8,10,83
2.5,60,No,7,4,36
2.5,63,Yes,4,6,42
1.5,99,Yes,4,7,76
8.5,57,No,8,3,52
1.5,60,Yes,8,4,35
9.5,93,No,7,6,93
6.5,49,No,6,1,40
7.5,63,No,5,7,57
7.5,79,No,5,1,70
3.5,86,Yes,5,10,70
2.5,60,Yes,6,9,41
9.5,64,Yes,7,10,64
8.5,91,No,5,9,87
7.5,99,No,4,9,90
9.5,96,Yes,4,4,95
4.5,98,Yes,4,2,80
4.5,62,No,8,7,45
1.5,61,No,8,4,34
8.5,43,No,6,5,37
3.5,73,Yes,5,1,51
7.5,95,No,8,10,95
2.5,45,Yes,4,6,23
2.5,67,No,8,7,45
7.5,70,Yes,4,3,61
6.5,74,No,5,10,65
3.5,78,Yes,6,2,59
9.5,81,Yes,7,10,79
6.5,62,Yes,7,7,52
6.5,45,No,4,1,31
1.5,55,Yes,8,2,30
4.5,41,Yes,8,3,23
6.5,63,No,4,4,52
6.5,56,Yes,5,5,46
5.5,84,Yes,4,4,71
1.5,40,No,5,10,11
8.5,45,Yes,6,3,39
5.5,44,No,6,1,31
5.5,96,Yes,4,7,83
7.5,84,No,6,10,75
4.5,99,Yes,8,6,88
6.5,94,Yes,5,2,78
4.5,89,Yes,7,2,73
3.5,68,No,7,3,52
7.5,51,Yes,6,8,41
8.5,78,Yes,5,8,73
4.5,86,No,8,10,69
2.5,42,No,7,10,23
3.5,87,No,8,10,68
1.5,40,Yes,8,10,19
8.5,66,Yes,7,8,65
3.5,87,Yes,7,7,67
7.5,63,No,6,2,51
5.5,83,No,5,1,69
5.5,58,Yes,4,6,45
7.5,98,Yes,5,8,91
9.5,47,No,4,1,42
5.5,94,No,7,3,84
1.5,83,No,8,1,58
1.5,86,Yes,5,10,65
2.5,41,No,8,9,19
6.5,69,No,5,7,63
9.5,69,No,9,8,67
8.5,88,No,5,9,86
5.5,78,Yes,8,3,63
1.5,84,No,9,10,63
7.5,71,Yes,6,2,63
5.5,40,Yes,7,6,27
6.5,77,No,6,5,67
7.5,52,No,6,4,44
3.5,50,Yes,5,6,31
3.5,49,No,7,6,26
5.5,87,Yes,9,3,78
6.5,98,No,5,2,89
9.5,65,Yes,4,9,63
5.5,95,Yes,5,8,83
1.5,94,Yes,9,4,74
4.5,59,No,8,6,45
5.5,56,Yes,5,3,41
5.5,56,Yes,4,8,40
7.5,43,No,5,3,35
4.5,44,No,9,2,28
1.5,99,Yes,4,7,74
5.5,62,Yes,7,3,47
7.5,85,No,9,9,79
6.5,91,Yes,5,3,81
5.5,49,No,4,8,34
4.5,85,No,9,2,69
2.5,67,No,7,9,46
4.5,72,Yes,8,1,57
3.5,82,No,6,3,59
1.5,65,Yes,4,2,38
8.5,94,Yes,8,7,89
5.5,89,No,7,5,76
4.5,87,No,8,8,71
8.5,68,No,5,2,63
7.5,66,No,6,8,58
2.5,57,Yes,4,7,33
1.5,79,Yes,9,5,54
4.5,99,No,7,2,83
8.5,49,Yes,6,10,42
2.5,97,No,7,7,76
3.5,81,Yes,8,10,64
1.5,44,Yes,7,4,18
1.5,49,Yes,7,4,25
3.5,89,No,8,8,70
5.5,60,Yes,8,6,48
3.5,63,Yes,6,9,44
1.5,77,Yes,4,2,49
1.5,42,Yes,8,5,18
8.5,79,No,6,6,76
2.5,70,Yes,7,8,55
3.5,80,No,7,4,60
2.5,76,No,9,7,57
3.5,41,Yes,5,7,21
7.5,41,Yes,8,4,35
1.5,78,No,6,1,55
8.5,88,No,9,3,84
2.5,81,No,6,2,60
3.5,83,Yes,4,3,64
9.5,73,Yes,9,5,73
7.5,81,No,6,1,71
4.5,59,No,8,5,42
5.5,72,No,6,2,55
2.5,43,Yes,5,4,22
8.5,84,Yes,7,6,84
4.5,83,No,7,9,65
9.5,50,Yes,9,10,52
5.5,81,No,6,6,67
9.5,86,Yes,6,10,84
4.5,44,No,6,2,27
5.5,64,Yes,6,8,50
9.5,88,Yes,5,5,86
8.5,99,Yes,8,9,96
3.5,76,Yes,5,10,57
1.5,73,Yes,5,9,51
3.5,48,Yes,5,4,24
4.5,45,Yes,7,1,27
2.5,57,No,5,9,31
1.5,53,No,6,9,29
7.5,58,No,5,8,49
8.5,53,Yes,6,5,47
7.5,79,Yes,9,5,74
5.5,56,Yes,8,10,46
1.5,99,No,7,6,77
7.5,74,No,8,1,72
7.5,68,No,9,9,61
9.5,81,No,8,5,78
3.5,56,No,7,7,37
9.5,98,No,6,8,97
1.5,82,Yes,9,5,63
1.5,47,No,9,3,23
4.5,40,Yes,6,6,22
9.5,84,No,6,7,80
6.5,92,No,7,4,83
3.5,75,Yes,5,9,56
1.5,46,Yes,4,4,23
4.5,85,Yes,5,10,71
9.5,44,No,5,2,38
3.5,63,No,8,9,43
9.5,67,Yes,4,4,65
7.5,82,No,6,4,73
4.5,56,Yes,5,10,43
3.5,76,No,7,1,57
5.5,59,No,5,2,44
5.5,42,No,6,3,25
3.5,76,Yes,5,7,56
9.5,65,No,9,9,65
4.5,54,Yes,8,5,35
5.5,90,Yes,8,4,79
4.5,87,Yes,5,2,72
5.5,47,Yes,8,7,34
7.5,52,Yes,7,6,47
9.5,87,Yes,4,7,87
7.5,42,Yes,5,8,35
5.5,40,Yes,7,9,27
7.5,48,Yes,9,10,45
5.5,70,No,7,5,54
3.5,80,Yes,7,5,62
7.5,93,No,9,4,85
2.5,65,Yes,6,3,41
9.5,56,No,5,7,54
1.5,95,No,5,5,68
6.5,73,No,5,7,59
7.5,48,No,4,2,42
8.5,95,No,7,9,90
9.5,90,No,5,9,86
2.5,52,Yes,8,9,34
2.5,44,Yes,6,5,21
5.5,80,Yes,9,10,67
5.5,52,Yes,9,9,39
6.5,40,Yes,4,1,26
3.5,64,Yes,9,2,44
8.5,86,No,6,10,80
1.5,43,Yes,7,5,17
6.5,75,No,9,5,68
4.5,91,No,9,6,81
1.5,49,No,8,8,27
7.5,67,No,7,1,58
9.5,96,No,5,10,92
4.5,45,No,6,9,30
4.5,66,Yes,9,4,49
6.5,95,No,8,8,85
3.5,51,No,6,5,34
6.5,91,Yes,4,1,83
7.5,87,Yes,8,9,82
3.5,42,Yes,4,8,25
7.5,85,Yes,9,5,82
3.5,72,Yes,8,4,55
2.5,49,Yes,5,8,26
4.5,70,Yes,6,9,54
8.5,54,No,6,7,49
9.5,46,Yes,7,4,41
7.5,75,No,8,7,67
1.5,53,Yes,8,6,30
3.5,95,Yes,4,3,74
9.5,87,No,8,10,90
1.5,53,Yes,6,3,28
9.5,42,Yes,8,1,41
8.5,88,Yes,7,5,84
1.5,92,Yes,7,8,70
6.5,85,Yes,6,6,73
5.5,89,Yes,6,8,78
6.5,42,Yes,6,7,33
5.5,61,No,8,2,50
6.5,58,Yes,8,8,45
5.5,74,No,5,4,58
5.5,51,No,9,5,35
4.5,93,No,9,8,77
3.5,44,No,4,5,23
3.5,49,No,8,5,31
4.5,80,No,5,6,68
9.5,72,No,5,7,72
2.5,52,Yes,7,9,30
9.5,74,Yes,8,7,75
1.5,90,Yes,5,6,68
1.5,71,No,7,10,47
5.5,50,Yes,4,4,35
6.5,87,No,7,10,77
6.5,77,No,4,2,65
3.5,63,Yes,9,9,47
7.5,74,No,9,10,69
9.5,58,No,6,5,59
8.5,45,Yes,6,5,42
6.5,79,No,7,3,65
8.5,93,Yes,6,3,85
5.5,84,No,8,1,71
8.5,83,No,7,5,78
4.5,81,Yes,5,3,61
8.5,74,Yes,8,2,66
2.5,43,Yes,7,9,22
5.5,72,No,9,10,61
9.5,52,No,4,6,49
4.5,95,Yes,6,3,78
6.5,75,Yes,6,7,64
1.5,93,Yes,6,9,69
9.5,82,No,7,9,82
1.5,58,No,8,1,30
5.5,82,Yes,4,2,67
4.5,51,Yes,6,8,37
3.5,50,Yes,8,1,30
6.5,45,No,5,3,33
2.5,51,Yes,9,7,32
3.5,66,Yes,5,8,46
5.5,80,Yes,4,5,66
9.5,64,No,6,2,58
2.5,81,No,5,3,59
8.5,42,Yes,9,9,39
2.5,42,No,8,10,23
5.5,59,Yes,8,7,49
7.5,67,Yes,5,1,60
8.5,62,Yes,6,3,59
1.5,87,Yes,9,9,63
6.5,42,No,4,7,31
1.5,81,Yes,6,2,57
2.5,63,Yes,7,6,41
1.5,82,No,5,9,60
5.5,79,Yes,7,4,66
9.5,45,No,5,10,44
6.5,59,Yes,4,2,49
1.5,50,Yes,6,3,25
1.5,71,Yes,9,7,52
2.5,99,Yes,6,4,82
9.5,66,No,5,7,63
3.5,60,Yes,8,5,44
1.5,83,No,7,8,64
5.5,87,No,9,8,74
7.5,89,No,9,5,77
6.5,52,Yes,6,7,44
1.5,61,No,6,6,35
5.5,74,No,5,8,58
5.5,86,No,8,9,73
6.5,61,Yes,7,5,48
3.5,67,Yes,8,7,53
5.5,60,No,9,1,50
7.5,85,No,8,8,78
5.5,57,Yes,5,3,42
5.5,70,No,8,1,57
5.5,99,No,7,6,90
3.5,85,No,9,8,66
1.5,76,Yes,4,3,50
5.5,60,No,9,1,49
9.5,53,No,4,3,48
1.5,64,Yes,7,5,38
3.5,66,No,9,8,49
4.5,79,Yes,9,9,62
1.5,99,Yes,9,9,78
1.5,99,Yes,9,4,76
8.5,62,No,5,8,58
2.5,70,No,6,5,46
8.5,86,No,9,3,83
7.5,99,No,5,5,91
2.5,68,No,7,2,43
6.5,86,No,9,6,75
6.5,69,No,8,1,61
3.5,90,No,9,6,74
2.5,65,Yes,9,5,41
1.5,59,No,4,9,33
6.5,77,No,8,7,68
5.5,58,Yes,9,6,47
9.5,66,No,9,7,66
1.5,64,Yes,9,10,43
7.5,79,No,5,5,70
5.5,77,No,7,1,63
5.5,91,Yes,4,9,76
2.5,62,Yes,9,5,41
3.5,68,No,7,4,44
7.5,54,Yes,4,6,43
6.5,98,No,4,5,85
2.5,42,No,4,1,16
6.5,49,No,9,2,40
2.5,54,No,5,4,27
2.5,95,No,9,8,74
2.5,55,No,9,5,35
3.5,56,Yes,7,7,35
2.5,58,Yes,6,2,38
4.5,50,Yes,6,8,35
9.5,87,No,6,5,86
6.5,44,Yes,7,4,32
1.5,44,No,8,9,19
8.5,97,Yes,7,6,93
7.5,53,No,4,4,45
3.5,89,No,9,8,73
1.5,65,No,8,3,41
5.5,47,No,4,10,32
4.5,44,No,9,2,26
8.5,46,Yes,9,7,45
1.5,55,No,4,4,28
1.5,94,Yes,7,4,67
4.5,53,No,6,10,35
8.5,76,No,8,9,71
5.5,95,No,9,2,82
2.5,80,Yes,5,1,57
6.5,43,No,9,7,31
5.5,75,Yes,6,8,61
2.5,87,No,9,3,65
3.5,95,Yes,5,2,75
9.5,56,Yes,7,4,53
7.5,86,Yes,9,2,85
7.5,75,No,8,2,67
6.5,45,No,7,5,33
8.5,55,Yes,5,10,48
4.5,68,No,4,5,52
8.5,75,No,9,8,68
4.5,77,No,7,9,58
8.5,76,Yes,9,2,72
9.5,87,Yes,8,1,87
3.5,96,No,9,3,78
3.5,87,Yes,7,6,73
2.5,49,No,6,5,25
3.5,80,No,7,8,61
3.5,75,Yes,5,8,56
5.5,68,Yes,7,2,55
5.5,53,No,8,9,40
2.5,43,No,7,4,20
6.5,83,No,7,1,69
5.5,95,Yes,8,2,84
6.5,81,Yes,7,6,73
1.5,75,No,8,5,50
5.5,89,No,5,7,75
9.5,84,Yes,8,9,87
2.5,52,No,5,6,27
1.5,85,Yes,5,6,61
9.5,57,Yes,8,2,55
9.5,72,No,7,7,74
9.5,60,No,9,2,62
6.5,55,Yes,6,7,46
8.5,54,No,9,8,58
1.5,93,Yes,8,1,69
4.5,96,Yes,7,9,73
1.5,44,Yes,5,8,18
8.5,45,No,4,9,38
1.5,77,No,6,5,55
3.5,42,No,9,4,23
4.5,87,Yes,7,1,74
8.5,51,Yes,6,9,48
6.5,75,Yes,4,4,64
7.5,72,Yes,4,4,64
8.5,75,No,4,4,69
2.5,72,No,9,2,53
8.5,70,No,8,4,65
3.5,60,Yes,6,2,39
7.5,66,Yes,8,8,61
3.5,66,No,4,7,46
7.5,47,Yes,7,10,40
2.5,95,No,4,2,76
6.5,76,Yes,8,2,68
3.5,71,Yes,4,2,49
3.5,65,Yes,4,1,45
9.5,41,Yes,8,6,38
7.5,51,Yes,8,6,42
5.5,61,No,7,1,48
7.5,56,No,8,1,46
9.5,46,No,7,6,44
1.5,82,Yes,5,6,55
7.5,43,No,5,4,33
6.5,76,No,8,3,65
9.5,77,Yes,4,9,75
1.5,71,Yes,6,6,51
4.5,50,No,4,1,34
9.5,40,No,8,3,37
4.5,64,No,7,1,46
3.5,81,No,4,3,59
9.5,91,No,5,2,86
2.5,63,Yes,9,5,42
4.5,92,No,8,3,79
6.5,82,No,4,7,64
2.5,95,No,9,8,77
8.5,56,No,4,7,52
8.5,47,No,7,2,37
1.5,98,No,7,10,75
3.5,84,Yes,7,10,66
9.5,66,Yes,9,7,66
5.5,91,Yes,6,10,80
6.5,57,No,9,3,47
4.5,66,No,8,7,48
2.5,61,Yes,8,1,43
8.5,55,No,5,2,47
6.5,41,No,5,10,35
5.5,44,No,8,1,28
9.5,57,Yes,4,9,53
1.5,42,Yes,8,2,18
5.5,66,Yes,6,2,54
6.5,93,No,5,6,85
5.5,56,Yes,5,7,40
6.5,55,Yes,9,2,45
6.5,45,Yes,5,4,37
7.5,90,No,8,3,82
4.5,46,Yes,5,5,31
8.5,89,Yes,5,9,81
7.5,53,No,9,2,42
9.5,77,Yes,8,5,78
7.5,79,No,4,8,70
3.5,54,No,5,6,35
3.5,86,Yes,5,4,65
8.5,86,Yes,5,10,79
5.5,87,Yes,6,8,75
4.5,72,No,8,3,53
8.5,82,Yes,5,4,77
6.5,66,Yes,6,9,54
2.5,68,Yes,4,5,47
4.5,96,No,4,6,78
4.5,76,No,9,2,60
6.5,44,No,9,9,36
6.5,68,Yes,9,8,62
1.5,71,Yes,6,7,47
8.5,99,No,4,9,98
6.5,92,Yes,9,5,87
3.5,45,Yes,7,5,25
9.5,41,No,9,9,38
2.5,45,No,4,5,19
8.5,85,No,7,9,85
3.5,82,Yes,6,1,60
5.5,43,Yes,7,10,30
6.5,95,Yes,4,10,85
6.5,68,No,5,8,61
4.5,98,No,7,3,79
3.5,64,Yes,4,8,47
4.5,48,No,9,5,32
1.5,95,No,5,2,69
4.5,42,Yes,6,9,26
1.5,65,No,6,4,38
1.5,87,Yes,8,7,63
6.5,82,No,6,8,70
5.5,66,Yes,8,7,51
4.5,75,No,6,6,56
3.5,71,Yes,6,7,55
1.5,40,No,6,4,13
6.5,96,No,8,10,89
2.5,92,No,9,1,70
8.5,93,No,8,5,89
5.5,55,No,7,8,42
7.5,90,Yes,4,10,84
2.5,87,Yes,4,6,63
8.5,50,Yes,9,5,46
2.5,65,No,4,2,43
4.5,79,Yes,6,10,66
1.5,94,No,9,5,74
5.5,40,No,4,10,24
9.5,65,Yes,8,3,62
1.5,67,Yes,7,2,42
9.5,92,No,5,3,86
8.5,97,No,7,4,94
6.5,48,Yes,4,2,36
7.5,99,Yes,9,4,93
3.5,98,No,4,4,80
1.5,83,No,8,6,58
5.5,61,Yes,7,5,50
2.5,47,No,8,7,29
5.5,97,No,8,7,86
8.5,88,Yes,5,3,83
9.5,81,Yes,8,9,81
2.5,66,No,8,7,42
3.5,78,No,5,7,58
3.5,58,Yes,6,2,42
1.5,64,No,6,10,44
8.5,77,Yes,9,3,74
6.5,60,No,5,3,47
8.5,63,Yes,9,6,62
9.5,63,No,9,4,62
5.5,99,No,8,4,88
3.5,99,No,9,1,79
5.5,58,Yes,4,6,44
5.5,89,Yes,7,8,76
5.5,86,Yes,4,8,73
3.5,41,No,4,8,19
4.5,53,No,8,5,37
9.5,92,Yes,7,10,93
9.5,71,Yes,9,6,72
2.5,81,No,7,5,59
8.5,71,No,9,4,70
8.5,67,No,6,4,59
7.5,87,No,5,4,75
8.5,78,Yes,8,4,73
3.5,79,Yes,9,6,62
6.5,81,No,9,6,75
1.5,86,No,7,5,61
7.5,79,No,8,9,71
1.5,52,Yes,9,8,28
9.5,51,Yes,6,10,50
1.5,47,No,4,6,18
1.5,54,No,9,9,35
7.5,65,No,7,5,52
2.5,51,No,6,10,28
5.5,82,No,8,4,68
8.5,90,No,9,6,85
8.5,85,Yes,6,4,82
3.5,66,Yes,6,8,46
7.5,57,Yes,6,7,51
3.5,84,No,6,5,68
6.5,75,No,6,10,68
6.5,88,No,6,6,78
3.5,90,Yes,5,7,71
7.5,66,No,8,2,60
3.5,48,Yes,4,9,28
8.5,94,No,8,7,89
4.5,78,No,7,8,61
1.5,40,No,7,5,15
4.5,46,Yes,8,3,28
7.5,65,Yes,6,2,55
4.5,46,Yes,5,2,33
6.5,91,No,4,3,80
9.5,46,Yes,9,1,45
1.5,47,No,9,1,21
5.5,55,No,6,7,43
7.5,42,Yes,8,10,34
1.5,84,Yes,9,8,59
4.5,49,No,8,6,32
6.5,89,No,5,7,76
2.5,46,No,5,1,23
5.5,60,No,8,1,47
1.5,92,Yes,6,9,69
6.5,76,Yes,6,5,67
6.5,70,Yes,6,7,61
4.5,62,No,9,6,45
8.5,96,No,4,4,91
4.5,66,No,4,1,48
8.5,95,Yes,6,4,89
8.5,61,No,8,10,57
5.5,78,No,5,10,67
4.5,96,Yes,7,8,79
2.5,66,Yes,5,1,44
3.5,93,No,5,2,73
3.5,88,Yes,7,8,70
4.5,43,No,6,2,25
4.5,63,Yes,5,10,48
5.5,62,No,7,9,46
4.5,87,Yes,9,3,73
8.5,58,Yes,8,3,52
6.5,81,Yes,8,6,74
6.5,42,Yes,8,3,29
8.5,66,No,6,9,57
7.5,42,No,5,8,30
8.5,67,Yes,5,4,61
2.5,56,No,4,6,29
9.5,70,Yes,8,8,67
1.5,49,Yes,6,4,22
8.5,88,No,7,5,85
4.5,61,No,6,7,43
4.5,69,No,5,8,52
5.5,88,No,8,7,75
8.5,60,No,4,8,51
5.5,75,No,9,4,63
8.5,92,No,6,1,91
1.5,62,Yes,4,6,33
9.5,77,No,5,5,72
6.5,51,Yes,7,4,38
3.5,64,No,6,2,43
8.5,93,No,9,1,86
9.5,96,Yes,5,9,97
6.5,59,Yes,8,2,52
7.5,88,Yes,6,9,83
1.5,88,Yes,4,6,65
5.5,81,No,6,6,68
5.5,46,No,5,2,33
4.5,68,Yes,5,6,51
6.5,87,Yes,4,3,74
7.5,68,No,9,7,63
9.5,52,No,5,10,49
1.5,42,Yes,6,4,21
6.5,41,No,9,9,34
7.5,55,No,4,5,44
3.5,69,Yes,5,10,50
8.5,77,Yes,5,3,71
5.5,45,Yes,6,1,29
9.5,84,Yes,5,1,83
5.5,46,No,6,4,30
9.5,44,Yes,8,10,43
4.5,95,No,9,10,80
9.5,46,No,6,4,42
